No,Name,Category,GroundTruthHint,Tell,DebutNight,HasCG,IsRecurringCore
1,瞳孔の女,Fake,Fake,光を当てても瞳が反応しない,1,false,false
2,道に迷った旅人,Human,Human,寒さで本当に震えている／矛盾点は単なる勘違い,1,false,false
3,双子の片割れ,Gray,Depends,ID照合では判別不可、本人の機転でしか見抜けない,2,true,false
4,名無し(初登場),Fake,Fake,詳細はrecurring_visitor_stages.csv参照(Stage1),4,true,true
5,影の歪んだ男,Fake,Fake,影の形が体型と一致しない,3,false,false
6,産婆を探す妊婦,Human,Human,完全に人間、判定を急ぐと他来訪者対応が圧迫される,5,true,false
7,元職員の老婆,Gray,Depends,知識は本物だが本人確認書類が古すぎて照合不能,6,true,false
8,喋らない少女,Gray,Depends,観察系ツールのみで判断する必要がある,7,false,false
9,蘇りの母,Fake,Fake,真冬なのに呼気が白くならない,8,true,false
10,二人連れの母子,Composite,Depends,子供の瞬きだけ不自然(個別判定が必要),9,false,false
11,鏡像の女,Fake,Fake,アクセサリの位置が通常と鏡写し,10,false,false
12,声を模倣する者,Fake,Fake,同じセリフを2回言わせると言い回しが微妙に崩れる,11,false,false
13,逃亡者の女,Gray,Human,「人間だから通す」原則と「素性を偽る危険人物」という疑念が対立,12,true,false
14,名無し・最終形態,Fake,Fake,詳細はrecurring_visitor_stages.csv参照(Stage4),13,true,true
15,香水で気配を消す女,Fake,Fake,聴診器で確認すると心音が二重に聞こえる,0,false,false
16,名刺を忘れた商人,Human,Human,早口で照会に時間がかかるだけ、矛盾なし,0,false,false
17,嵐の夜なのに濡れていない来訪者,Fake,Fake,外は嵐なのに服も髪も全く濡れていない,0,false,false
18,施設の見学希望者,Gray,Depends,持っているパンフレットが廃止済みの旧版,0,false,false
19,動物を連れた女性,Composite,Depends,同伴の小動物だけ瞳が異常,0,false,false
20,二重に瞬きする男,Fake,Fake,わずかに二重瞬きする癖がある,0,false,false
21,死亡記録のある老人,Fake,Fake,チェックリストで確認すると死亡記録が出る,0,false,false
22,配属記録のない職員,Gray,Depends,制服は本物だが配属記録が存在しない,0,false,false
23,教科書的な受け答えの少年,Fake,Fake,受け答えが妙に定型文めいている,0,false,false
24,杖を忘れた老婆,Human,Human,本当に視力が悪く、ただ迷っただけ,0,false,false
25,影が1つしかない姉妹,Fake,Fake,二人いるのに影が1つしかない,0,false,false
26,取引を申し出る男,Gray,Depends,賄賂を渡してくる、応じるか拒否するかの選択,0,false,false
27,自分の声を録音していた女,Fake,Fake,過去の会話と全く同じ言葉を繰り返す,0,false,false
28,消えない蝋燭を持つ少女,Fake,Fake,無風でも蝋燭の炎が全く揺れない,0,false,false
